id_,url,title,author,author_url,book_type,published_date,isbn_10,pages,original_price,disc_price,prod_det_dict
9781306051705,https://www.booktopia.com.au/ebook/9781306051705.html,Child of the Morning,Pauline Gedge,https://www.booktopia.com.au/search?author=Pauline+Gedge,E-Book , 1 January 2010, 1306051703,420,,$26.95,"{'ISBN': ' 9781306051705', 'ISBN-10': ' 1306051703', 'Published': ' 1st January 2010', 'Format': ' E-Book', 'Language': ' English', 'Number of Pages': ' 420', 'Audience': ' General Adult', 'Publisher': ' Chicago Review Press', 'Country of Publication': ' US'}"
9780830826490,https://www.booktopia.com.au/ebook/9780830826490.html,All Things New,Brian J. Tabb,https://www.booktopia.com.au/search?author=Brian+J.+Tabb,Paperback , 30 April 2019, 0830826491,280,,$60.00,"{'ISBN': ' 9780830826490', 'ISBN-10': ' 0830826491', 'Series': ' New Studies in Biblical Theology', 'Published': ' 30th April 2019', 'Format': ' Paperback', 'Language': ' English', 'Number of Pages': ' 280', 'Publisher': ' IVP ACADEMIC                  ', 'Dimensions (cm)': ' 21.34 x 13.97 x 2.29', 'Weight (kg)': ' 0.39'}"
9780330514651,https://www.booktopia.com.au/ebook/9780330514651.html,Wednesday's Child,Peter Robinson,https://www.booktopia.com.au/search?author=Peter+Robinson,eBook , 21 August 2009, 0330514652,,,$22.99,"{'ISBN': ' 9780330514651', 'ISBN-10': ' 0330514652', 'Published': ' 21st August 2009', 'Format': ' ePUB', 'Language': ' English'}"
9780765397522,https://www.booktopia.com.au/ebook/9780765397522.html,All Systems Red,Martha Wells,https://www.booktopia.com.au/search?author=Martha+Wells,eBook , 2 May 2017, 0765397528,,,$5.99,"{'ISBN': ' 9780765397522', 'ISBN-10': ' 0765397528', 'Series': ' The Murderbot Diaries   Book 1', 'Published': ' 2nd May 2017', 'Format': ' ePUB', 'Language': ' English', 'Publisher': ' Tor Publishing Group', 'Volume Number': ' 1'}"
9780807563731,https://www.booktopia.com.au/ebook/9780807563731.html,Jacob's New Dress,Sarah Hoffman,https://www.booktopia.com.au/search?author=Sarah+Hoffman,Hardcover , 1 April 2014, 0807563730,32,,$16.75,"{'ISBN': ' 9780807563731', 'ISBN-10': ' 0807563730', 'Published': ' 1st April 2014', 'Format': ' Hardcover', 'Language': ' English', 'Number of Pages': ' 32', 'Audience': ' Children', 'For Ages': ' 6 - 7 years old', 'For Grades': ' 1 - 2', 'Publisher': ' Whitman & Co.', 'Country of Publication': ' US', 'Dimensions (cm)': ' 25.5 x 18.0 x 1.27', 'Weight (kg)': ' 0.21'}"
9780743246392,https://www.booktopia.com.au/ebook/9780743246392.html,The Great Gatsby,F. Scott Fitzgerald,https://www.booktopia.com.au/search?author=F.+Scott+Fitzgerald,eBook , 27 May 2003, 074324639X,165,,$11.99,"{'ISBN': ' 9780743246392', 'ISBN-10': ' 074324639X', 'Published': ' 27th May 2003', 'Format': ' ePUB', 'Language': ' English', 'Number of Pages': ' 165', 'Audience': ' General Adult', 'Publisher': ' Scribner'}"
9781405513487,https://www.booktopia.com.au/ebook/9781405513487.html,Night Broken,Patricia Briggs,https://www.booktopia.com.au/search?author=Patricia+Briggs,eBook , 11 March 2014, 1405513489,352,,$11.99,"{'ISBN': ' 9781405513487', 'ISBN-10': ' 1405513489', 'Series': ' Mercy Thompson   Book 8', 'Published': ' 11th March 2014', 'Format': ' ePUB', 'Language': ' English', 'Number of Pages': ' 352', 'Audience': ' General Adult', 'Publisher': ' Little, Brown Book Group', 'Volume Number': ' 8', 'Edition Type': ' Digital original'}"
9781101965375,https://www.booktopia.com.au/ebook/9781101965375.html,Age of Swords,Michael J. Sullivan,https://www.booktopia.com.au/search?author=Michael+J.+Sullivan,eBook , 25 July 2017, 1101965371,,$14.66,$16.99,"{'ISBN': ' 9781101965375', 'ISBN-10': ' 1101965371', 'Series': ' The Legends of the First Empire   Book 2', 'Published': ' 25th July 2017', 'Format': ' ePUB', 'Language': ' English', 'Publisher': ' Random House Worlds', 'Volume Number': ' 2'}"
9780753552049,https://www.booktopia.com.au/ebook/9780753552049.html,The Spider Network,David Enrich,https://www.booktopia.com.au/search?author=David+Enrich,eBook , 23 March 2017, 0753552043,496,,$18.99,"{'ISBN': ' 9780753552049', 'ISBN-10': ' 0753552043', 'Published': ' 23rd March 2017', 'Format': ' ePUB', 'Language': ' English', 'Number of Pages': ' 496', 'Audience': ' General Adult', 'Publisher': ' Ebury Publishing'}"
9780761160854,https://www.booktopia.com.au/ebook/9780761160854.html,The Essential Guide to Getting Your Book Published,Arielle Eckstut,https://www.booktopia.com.au/search?author=Arielle+Eckstut,Paperback , 4 November 2010 , 076116085X,544,,$32.59,"{'ISBN': ' 9780761160854', 'ISBN-10': ' 076116085X', 'Series': ' Essential Guide to Getting Your Book Published  How to Write', 'Published': ' 4th November 2010', 'Format': ' Paperback', 'Language': ' English', 'Number of Pages': ' 544', 'Audience': ' General Adult', 'Publisher': ' Workman', 'Country of Publication': ' US', 'Edition Number': ' 1', 'Dimensions (cm)': ' 22.86 x 15.24 x 3.18', 'Weight (kg)': ' 0.67'}"
